"","Player","PS","GP","Min","FGM","FGA","X3M","X3A","FTM","FTA","OR","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","EJ","FF","Sta","X...","OE","PER","AdjPER","Delta"
"268","i.smith (pho)","PG",70,1011,119,281,1,24,22,39,31,129,179,49,65,13,66,0,261,0,0,0,1,-10,NA,11.71,12.1790590231513,0.469059023151337
"269","r.evans (sac)","PF",54,898,71,150,0,0,72,130,115,334,21,37,58,3,119,1,214,2,0,0,20,-103,NA,11.69,12.2217519170044,0.531751917004449
"270","j.barea (min)","PG",79,1470,254,656,73,231,79,100,16,154,304,26,124,0,129,0,660,4,0,0,1,-99,NA,11.68,13.0512013506,1.3712013506
"271","a.rivers (nop)","SG",69,1340,192,474,36,99,110,173,26,129,160,45,77,9,134,0,530,3,0,0,4,-14,NA,11.6,11.8867305848642,0.286730584864181
"272","j.jack (cle)","PG",80,2253,286,698,63,185,125,149,22,223,325,55,133,22,133,0,760,2,0,0,31,-240,NA,11.57,11.95887947551,0.388879475509988
"273","m.webster (was)","SF",78,2164,254,587,146,372,105,125,38,223,97,41,58,15,150,1,759,0,0,0,13,-12,NA,11.56,11.9352678927255,0.375267892725509
"274","d.williams (sac)","PF",78,1816,206,481,26,99,186,259,71,323,56,48,76,20,114,0,624,0,0,0,15,-180,NA,11.53,11.8566987044868,0.326698704486793
"275","j.freeland (por)","PF",52,724,77,161,0,2,20,29,87,207,36,10,33,22,95,0,174,1,0,0,0,27,NA,11.34,12.0908499852431,0.750849985243097
"276","k.bazemore (lal)","SG",67,912,147,343,43,128,66,109,10,117,92,43,79,13,102,0,403,0,0,0,15,-251,NA,11.28,12.7256125815592,1.44561258155921
"277","o.mayo (mil)","SG",52,1348,224,550,84,227,76,88,25,125,113,28,95,13,111,0,608,5,0,0,23,-357,NA,11.27,11.6892102421068,0.41921024210683
"278","m.bonner (sas)","PF",61,697,73,164,42,98,9,12,16,131,31,15,16,11,49,0,197,0,0,0,0,112,NA,11.27,11.9422094367719,0.67220943677188
"279","s.adams (okc)","C",81,1200,93,185,0,0,79,136,142,332,44,40,71,57,203,3,265,1,0,0,20,57,NA,11.25,11.97422711595,0.724227115950002
"280","e.moore (orl)","SG",79,1506,195,456,57,161,52,68,29,136,112,60,55,13,106,0,499,0,0,0,3,-147,NA,11.18,11.6705806790558,0.490580679055775
"281","j.ayres (sas)","PF",73,952,101,174,0,0,38,55,89,257,60,13,63,25,146,0,240,0,0,0,10,113,NA,11.16,11.9565603338445,0.796560333844537
"282","j.thompson (sac)","PF",82,2011,251,496,0,0,84,145,153,527,52,32,95,56,251,5,586,9,0,0,61,-9,NA,11.14,11.4307177800925,0.290717780092489
"283","s.novak (tor)","SF",54,545,60,146,52,122,6,6,8,58,13,12,5,4,44,0,178,0,0,0,1,72,NA,11.1,11.3215639068661,0.221563906866056
"284","w.johnson (lal)","SG",79,2241,277,651,100,271,61,77,70,348,124,86,90,77,207,1,715,0,0,0,62,-374,NA,11.08,12.4886994896627,1.40869948966265
"285","c.martin (atl)","SF",59,873,111,264,59,151,48,65,13,110,34,27,34,7,71,0,329,0,0,0,6,-126,NA,11.05,12.0225247229691,0.972524722969077
"286","c.martin (chi)","SF",59,873,111,264,59,151,48,65,13,110,34,27,34,7,71,0,329,0,0,0,6,-126,NA,11.05,12.0225247229691,0.972524722969077
"287","s.blake (lal)","PG",55,1496,133,353,79,210,33,43,13,159,307,53,102,8,85,0,378,0,0,0,28,-174,NA,11.01,12.0997003157807,1.08970031578075
"288","a.tolliver (cha)","PF",64,1300,129,307,102,247,33,41,33,168,42,19,23,15,82,0,393,0,0,0,9,75,NA,11.01,11.2512413904923,0.241241390492304
