Player,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER
p.jones (okc),SF,62,767,83,181,22,61,28,42,28,114,26,14,21,19,62,0,216,0,0,0,7,54,,10.14
d.fisher (okc),PG,81,1430,141,361,88,229,55,71,12,122,117,70,49,3,157,0,425,4,0,0,0,237,,10.09
c.hayes (tor),PF,61,755,56,130,0,1,20,25,69,210,35,34,33,12,95,1,132,0,0,0,1,60,,10.04
g.wallace (bos),SF,58,1418,116,230,19,64,47,101,36,212,143,73,97,14,79,0,298,4,0,0,16,-172,,10.02
a.nicholson (orl),PF,76,1172,180,420,28,89,47,57,53,255,25,18,51,23,150,2,435,1,0,0,5,-153,,9.9
h.barnes (gsw),SF,78,2207,271,678,66,190,130,181,66,311,116,65,84,20,158,0,738,0,0,0,24,-51,,9.85
g.stiemsma (nop),C,55,1007,70,122,0,1,19,32,72,226,36,35,44,57,169,3,159,4,0,0,20,-171,,9.75
a.harrington (was),PF,34,513,82,207,34,100,27,35,15,80,28,14,34,0,72,0,225,0,0,0,0,46,,9.75
r.mccallum (sac),PG,45,898,113,300,22,59,32,43,18,79,120,22,39,9,69,0,280,0,0,0,10,-95,,9.74
c.budinger (min),SF,41,754,100,254,42,120,32,39,19,103,31,19,24,2,58,0,274,0,0,0,8,-1,,9.73
r.hummel (min),SF,53,651,67,177,32,89,15,16,35,132,23,17,10,2,57,0,181,0,0,0,5,36,,9.67
i.shumpert (nyk),SG,74,1962,183,484,76,228,53,71,81,308,129,92,79,13,209,1,495,1,0,0,58,154,,9.66
s.williams (lal),SF,36,754,73,192,42,129,14,20,25,167,30,19,21,30,93,2,202,2,0,0,13,25,,9.51
a.anderson (brk),SG,78,1770,194,485,84,248,92,118,40,175,80,48,62,11,147,0,564,2,0,0,26,-52,,9.5
h.thompson (phi),SF,77,1742,171,372,67,167,52,73,73,247,73,53,60,12,144,0,461,0,0,0,41,-360,,9.5
k.caldwell-pope (det),SG,80,1582,182,460,59,185,47,61,38,156,55,75,28,12,145,0,470,1,0,0,41,-60,,9.46
d.arthur (den),PF,69,1164,162,410,24,64,53,62,52,210,61,39,58,47,185,3,401,3,0,0,1,74,,9.41
f.garcia (hou),SG,55,1083,118,294,69,193,10,19,21,122,63,27,30,33,120,1,315,1,0,0,4,32,,9.37
t.douglas (mia),PG,51,677,73,190,31,102,25,34,18,86,68,19,34,5,81,0,202,0,0,0,17,-12,,9.2
e.clark (cle),SF,54,769,97,261,41,122,22,34,22,143,18,17,31,25,67,0,257,0,0,0,17,-136,,9.09
d.miller (nop),SF,45,726,73,166,25,77,29,36,9,52,43,23,22,9,88,0,200,0,0,0,7,51,,9.06
l.ridnour (mil),PG,61,1138,126,327,37,108,17,26,23,97,177,32,66,8,92,0,306,1,0,0,14,-202,,9.01
l.ridnour (cha),PG,61,1138,126,327,37,108,17,26,23,97,177,32,66,8,92,0,306,1,0,0,14,-202,,9.01
j.dudley (lac),SG,74,1730,196,447,81,225,38,58,36,160,104,41,56,10,146,0,511,0,0,0,43,210,,8.91
n.cole (mia),PG,82,2012,207,500,60,174,53,68,17,160,247,77,128,5,156,0,527,2,0,0,6,105,,8.8
p.pressey (bos),PG,75,1129,78,253,28,106,29,45,20,105,240,68,87,5,97,1,213,0,0,0,11,-39,,8.78
e.williams (phi),SG,67,1157,140,337,37,125,87,119,30,130,72,35,68,3,126,0,404,0,0,0,2,-366,,8.71
s.battier (mia),SF,73,1467,105,275,73,210,15,23,34,137,63,50,22,39,124,0,298,0,0,0,56,195,,8.7
a.gee (cle),SG,65,1021,98,237,19,59,43,61,35,149,47,39,44,15,96,0,258,0,0,0,24,-228,,8.63
q.miller (den),SF,52,788,94,256,30,94,39,55,36,147,26,22,48,32,70,0,257,0,0,0,16,-60,,8.62
l.mbahamoute (sac),SF,64,1002,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,,8.42
l.mbahamoute (min),SF,64,1002,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,,8.42
t.prince (mem),SF,76,1949,200,492,20,69,34,60,32,234,119,39,41,19,63,0,454,0,0,0,76,43,,8.18
t.snell (chi),SF,77,1235,129,336,57,178,31,41,19,124,68,29,44,15,84,0,346,0,0,0,12,-115,,8.02
j.salmons (sac),SF,78,1725,150,413,63,163,40,52,20,163,147,47,54,19,124,0,403,1,0,0,8,-8,,7.81
j.salmons (tor),SF,78,1725,150,413,63,163,40,52,20,163,147,47,54,19,124,0,403,1,0,0,8,-8,,7.81
g.temple (was),SG,75,644,51,141,6,29,30,43,21,68,72,35,42,11,72,0,138,0,0,0,0,-86,,7.81
b.mclemore (sac),SG,82,2185,255,679,95,297,115,143,53,235,83,45,96,18,201,1,720,2,0,0,55,-206,,7.77
e.udoh (mil),PF,43,804,57,143,0,0,30,47,61,148,31,15,38,44,96,0,144,0,0,0,14,-169,,7.62
d.lamb (orl),SG,53,697,63,160,36,90,29,36,8,49,43,11,27,1,54,1,191,0,0,0,0,-2,,7.51
b.davies (phi),PF,51,573,54,128,2,10,34,53,38,109,28,24,35,8,92,1,144,0,0,0,0,-32,,7.49
j.terry (brk),SG,35,570,55,152,39,103,10,15,4,37,56,13,27,0,48,0,159,1,0,0,0,-66,,7.48
w.green (lac),SG,55,870,102,271,41,121,28,34,12,78,50,22,34,11,96,0,273,0,0,0,9,82,,7.13
d.garrett (uta),SG,71,1050,101,265,36,96,10,12,11,97,120,41,75,5,75,0,248,0,0,0,0,-116,,7.1
a.bennett (cle),PF,52,666,80,225,13,53,44,69,49,155,17,21,47,8,93,1,217,1,0,0,0,-83,,6.95
k.perkins (okc),C,62,1206,87,194,0,2,37,67,82,305,67,26,91,32,177,0,211,10,0,0,62,44,,6.32
j.taylor (cha),SF,26,629,82,218,18,67,26,47,15,60,22,13,25,5,62,0,208,0,0,0,8,-75,,5.97
d.schroder (atl),PG,49,641,72,188,10,42,29,43,5,60,93,17,61,0,54,0,183,0,0,0,0,-205,,5.81
j.lucas (uta),PG,42,589,62,190,25,84,10,16,12,39,42,14,22,0,41,0,159,0,0,0,6,-168,,5.23
