Player,PS,GP,Min,Pts,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER,PER,Var,,FGM_Weight,FGA_Weight,ThrPTM_Weight,FTM_Weight,Blk_Weight,OffReb_Weight,Ast_Weight,DefReb_Weight,Foul_Weight,FTA_Weight,Stl_Weight,TO_Weight,,,,,
r.evans (sac),PF,54,898,70,71,150,0,0,72,130,115,334,21,37,58,3,119,1,214,2,0,0,20,-103,0.807,11.69,12.19035809,0.500358091,,,,,,,,,,,,,,,,,,
n.collison (okc),PF,81,1357,214,134,241,4,17,66,93,116,293,104,30,71,28,187,0,338,2,0,0,0,333,0.793,11.84,12.44978683,0.609786833,,,,,,,,,,,,,,,,,,
j.freeland (por),PF,52,724,134,77,161,0,2,20,29,87,207,36,10,33,22,95,0,174,1,0,0,0,27,0.79,11.34,12.02301656,0.683016565,,,,,,,,,,,,,,,,,,
t.hansbrough (tor),PF,64,981,60,93,196,0,2,126,185,120,287,17,28,47,19,132,0,312,5,0,0,4,-5,0.786,14.2,14.36479743,0.164797434,,,,,,,,,,,,,,,,,,
j.ayres (sas),PF,73,952,164,101,174,0,0,38,55,89,257,60,13,63,25,146,0,240,0,0,0,10,113,0.774,11.16,11.91281121,0.752811205,,,,,,,,,,,,,,,,,,
m.plumlee (brk),PF,70,1275,276,199,302,0,3,122,195,99,308,60,49,77,55,171,3,520,0,0,0,22,-87,0.762,19.09,18.84935617,0.240643826,,,,,,,,,,,,,,,,,,
t.booker (was),PF,72,1553,397,222,403,0,2,47,76,149,379,64,41,58,45,131,0,491,2,0,0,45,-55,0.761,15.02,15.3063919,0.286391898,,,,,,,,,,,,,,,,,,
a.varejao (cle),PF,65,1803,362,227,459,0,7,92,135,187,629,140,69,72,39,164,2,546,1,0,0,29,64,0.758,17.05,17.52381489,0.473814894,,,,,,,,,,,,,,,,,,
j.withey (nop),C,58,687,86,69,129,0,1,52,73,49,150,26,15,20,50,73,0,190,0,0,0,4,29,0.754,15.25,15.00793536,0.242064643,,,,,,,,,,,,,,,,,,
j.hill (lal),C,72,1501,448,286,521,0,1,124,181,194,535,54,29,75,65,172,2,696,1,0,0,32,-304,0.746,19.39,21.05016646,1.660166459,,,,,,,,,,,,,,,,,,
j.vesely (was),SF,54,775,159,89,173,0,0,19,56,81,191,22,53,36,35,121,3,197,0,0,0,1,-109,0.74,12.71,13.6807168,0.970716795,,,,,,,,,,,,,,,,,,
j.vesely (den),SF,54,775,159,89,173,0,0,19,56,81,191,22,53,36,35,121,3,197,0,0,0,1,-109,0.74,12.71,13.6807168,0.970716795,,,,,,,,,,,,,,,,,,
j.evans (uta),SF,66,1208,299,175,332,0,2,51,75,120,309,44,42,40,46,139,2,401,0,0,0,4,-177,0.74,16.27,16.22331085,0.046689147,,,,,,,,,,,,,,,,,,
o.asik (hou),C,48,964,124,101,190,0,0,78,126,102,379,27,14,59,37,92,1,280,0,0,0,19,58,0.736,14.05,14.85149946,0.801499457,,,,,,,,,,,,,,,,,,
q.acy (sac),SF,63,852,109,66,141,4,15,35,53,71,215,28,23,30,26,122,1,171,5,0,0,0,-134,0.734,10.14,10.54981158,0.409811585,,,,,,,,,,,,,,,,,,
j.adrien (mil),SF,53,963,210,143,275,0,0,76,119,102,306,38,24,39,36,108,0,362,2,0,0,12,-72,0.724,17.49,17.59891243,0.10891243,,,,,,,,,,,,,,,,,,
p.prigioni (nyk),PG,66,1284,360,88,191,65,140,11,12,36,129,228,67,60,2,132,0,252,2,0,0,27,32,0.713,13.02,13.08009998,0.060099979,,,,,,,,,,,,,,,,,,
j.noah (chi),C,80,2818,513,380,800,0,2,247,335,282,901,431,99,194,123,245,2,1007,12,0,0,80,230,0.71,20.06,20.12807305,0.068073046,,,,,,,,,,,,,,,,,,
c.hayes (tor),PF,61,755,92,56,130,0,1,20,25,69,210,35,34,33,12,95,1,132,0,0,0,1,60,0.705,10.04,10.71326619,0.673266188,,,,,,,,,,,,,,,,,,
i.mahinmi (ind),C,77,1253,92,91,189,0,1,90,145,107,257,25,41,58,72,207,1,272,1,0,0,1,8,0.703,10.18,10.41527379,0.235273788,,,,,,,,,,,,,,,,,,
g.dieng (min),C,60,821,170,113,227,1,1,59,93,103,300,39,30,54,50,108,0,286,0,0,0,15,-40,0.7,16.58,17.7557357,1.175735704,,,,,,,,,,,,,,,,,,
d.blair (dal),C,78,1217,343,210,393,0,2,77,121,139,368,70,60,77,21,192,1,497,1,0,0,13,-12,0.698,17.33,18.04287387,0.712873874,,,,,,,,,,,,,,,,,,
k.martin (nyk),PF,32,634,115,63,122,0,1,11,19,36,134,50,25,26,27,85,0,137,4,0,0,15,31,0.698,12.25,12.34674626,0.096746264,,,,,,,,,,,,,,,,,,
t.splitter (sas),PF,59,1272,241,181,346,0,3,121,173,123,363,90,29,76,31,117,0,483,0,0,0,50,266,0.697,16.58,17.19457063,0.614570629,,,,,,,,,,,,,,,,,,
l.allen (phi),PF,65,1068,241,134,299,2,13,33,50,119,311,71,24,45,33,126,1,303,0,0,0,2,-209,0.693,12.52,13.69217905,1.172179051,,,,,,,,,,,,,,,,,,
l.allen (ind),PF,65,1068,241,134,299,2,13,33,50,119,311,71,24,45,33,126,1,303,0,0,0,2,-209,0.693,12.52,13.69217905,1.172179051,,,,,,,,,,,,,,,,,,
h.sims (phi),C,46,877,170,130,274,0,1,90,121,104,237,52,28,41,20,116,1,350,0,0,0,25,-138,0.692,16.14,17.43636444,1.296364444,,,,,,,,,,,,,,,,,,
e.davis (mem),PF,63,956,263,155,290,0,0,47,89,92,260,27,17,40,43,114,0,357,2,0,0,4,52,0.687,15.99,15.57566993,0.414330066,,,,,,,,,,,,,,,,,,
e.brand (atl),PF,73,1416,297,179,332,0,2,61,94,97,361,74,40,60,88,192,0,419,1,0,0,15,-60,0.686,14.05,14.93453345,0.884533449,,,,,,,,,,,,,,,,,,
n.pekovic (min),C,54,1665,572,379,701,0,0,186,249,206,468,49,30,84,23,129,0,944,2,0,0,54,280,0.682,20.72,21.9877484,1.267748399,,,,,,,,,,,,,,,,,,
a.ajinca (nop),C,56,952,216,136,250,0,1,56,67,94,277,40,23,63,46,187,3,328,0,0,0,30,-99,0.68,14.62,14.94489419,0.324894189,,,,,,,,,,,,,,,,,,
a.johnson (tor),PF,77,2214,657,344,612,20,66,91,143,172,504,115,56,123,88,271,5,799,1,0,0,72,198,0.677,15.44,15.4973775,0.057377499,,,,,,,,,,,,,,,,,,
t.zeller (cle),PF,70,1050,225,156,290,0,1,87,121,102,281,35,18,60,38,137,1,399,1,0,0,9,-5,0.675,15.43,15.59238086,0.162380864,,,,,,,,,,,,,,,,,,
t.jones (hou),PF,76,2083,747,386,713,31,102,118,195,162,528,87,54,71,99,139,0,921,1,0,0,71,125,0.667,19.14,19.62556034,0.485560338,,,,,,,,,,,,,,,,,,
k.faried (den),SF,80,2179,692,447,820,0,3,202,311,237,683,95,70,135,69,193,0,1096,5,0,0,77,-158,0.667,19.9,21.06752053,1.167520529,,,,,,,,,,,,,,,,,,
a.kirilenko (brk),SF,45,856,106,82,160,1,5,61,119,55,146,72,40,54,18,65,0,226,0,0,0,4,-50,0.667,12.48,12.32620808,0.153791923,,,,,,,,,,,,,,,,,,
