Player,OE,PER,PM,POS,Team
t.evans,0.55481972,18.43,-4.909090909,PG,nop
l.ridnour,0.55393053,9.01,-8.520210896,PG,cha
l.ridnour,0.55393053,9.01,-8.520210896,PG,mil
i.thomas,0.553613054,20.54,0.55858748,PG,sac
e.bledsoe,0.551762115,19.62,4.576271186,PG,pho
w.bynum,0.551724138,14.44,-5.10056926,PG,det
g.vasquez,0.550964187,14.2,4.535433071,PG,sac
g.vasquez,0.550964187,14.2,4.535433071,PG,tor
r.sessions,0.549630845,16.04,-3.705643341,PG,cha
r.sessions,0.549630845,16.04,-3.705643341,PG,mil
j.farmar,0.548589342,15.05,-4.736842105,PG,lal
m.williams,0.546363636,11.87,1.909536785,PG,por
p.mills,0.543297746,18.8,10.65265923,PG,sas
b.jennings,0.543157895,15.67,-3.271528032,PG,det
r.westbrook,0.540145985,24.74,7.52874379,PG,okc
j.jack,0.538800705,11.57,-5.113182423,PG,cle
b.roberts,0.536394177,13.49,-3.935368043,PG,nop
d.augustin,0.53549518,16.22,1.334706488,PG,chi
j.lin,0.535454545,14.31,4.066212269,PG,hou
r.jackson,0.534646244,15.43,7.365190706,PG,okc
k.irving,0.533738938,20.14,-4.230769231,PG,cle
t.burke,0.531362653,12.64,-5.432360743,PG,uta
m.ellis,0.530395137,16.83,0.778035065,PG,dal
n.cole,0.529137529,8.8,2.504970179,PG,mia
m.carter-williams,0.528945765,15.59,-8.904347826,PG,phi
r.mccallum,0.528344671,9.74,-5.077951002,PG,sac
d.lillard,0.526096033,18.69,5.87120954,PG,por
c.watson,0.524896266,13.08,5.467336683,PG,ind
a.brooks,0.524774775,12.51,-2.86521181,PG,den
a.burks,0.52250662,15.82,-6.262773723,PG,uta
j.barea,0.52247191,11.68,-3.232653061,PG,min
k.walker,0.520930233,16.82,2.421092854,PG,cha
n.robinson,0.518796992,15.64,4.579310345,PG,den
t.douglas,0.51459854,9.2,-0.850812408,PG,mia
b.knight,0.51261034,16.59,-8.774407977,PG,mil
r.foye,0.510220126,13.31,-2.412545235,PG,den
j.bayless,0.507462687,12.04,-2.761565836,PG,bos
j.bayless,0.507462687,12.04,-2.761565836,PG,mem
d.fisher,0.500970874,10.09,7.955244755,PG,okc
d.schroder,0.489614243,5.81,-15.35101404,PG,atl
t.wroten,0.484482759,12.96,-11.8572238,PG,phi
r.stuckey,0.480293309,14.04,-3.915854284,PG,det
a.bradley,0.465553236,12.8,-3.286253369,PG,bos
g.neal,0.453947368,12.54,-7.374663073,PG,cha
a.shved,0.43373494,10.27,-2.51874063,PG,min
j.lucas,0.429752066,5.23,-13.6910017,PG,uta
j.vesely,0.74,12.71,-6.750967742,SF,den
j.vesely,0.74,12.71,-6.750967742,SF,was
j.evans,0.739864865,16.27,-7.033112583,SF,uta
q.acy,0.734375,10.14,-7.549295775,SF,sac
j.adrien,0.724,17.49,-3.588785047,SF,mil
a.kirilenko,0.666666667,12.48,-2.803738318,SF,brk
k.faried,0.666666667,19.9,-3.48049564,SF,den
l.james,0.618226601,29.4,6.762659318,SF,mia
m.kidd-gilchrist,0.615168539,12.07,0.287808128,SF,cha
a.aminu,0.614840989,13.19,-5.917808219,SF,nop
n.batum,0.601351351,15.86,5.338742394,SF,por
k.leonard,0.601023018,19.43,9.38045738,SF,sas
g.wallace,0.596774194,10.02,-5.822284908,SF,bos
s.marion,0.58490566,13.78,-2.672206066,SF,dal
d.carroll,0.583444593,13.96,2.028169014,SF,atl
l.mbahamoute,0.577464789,8.42,-7.281437126,SF,min
l.mbahamoute,0.577464789,8.42,-7.281437126,SF,sac
h.thompson,0.564814815,9.5,-9.919632606,SF,phi
c.parsons,0.561764706,15.9,5.601436266,SF,hou
m.miller,0.552504039,12.5,-1.432416618,SF,mem
d.green,0.550324675,12.73,3.875278396,SF,gsw
k.durant,0.548305085,29.9,7.851186658,SF,okc
p.jones,0.545,10.14,3.379400261,SF,okc
j.crowder,0.541310541,11.89,9.271860095,SF,dal
t.ariza,0.538961039,15.87,3.437385237,SF,was
r.kelly,0.535031847,12.67,-3.214611872,SF,lal
c.brewer,0.530010173,12.71,6.085024895,SF,min
m.barnes,0.525849335,12.05,9.749136939,SF,lac
t.harris,0.525380711,16.54,-5.977260422,SF,orl
m.harkless,0.524137931,11.87,-7.562148338,SF,orl
l.deng,0.52362949,15.22,0.173520108,SF,chi
l.deng,0.52362949,15.22,0.173520108,SF,cle
d.miller,0.522522523,9.06,3.371900826,SF,nop
m.scott,0.522222222,15.34,-6.210242588,SF,atl
g.hayward,0.522123894,16.22,-6.776268763,SF,uta
t.young,0.521857923,16.64,-11.51858668,SF,phi
m.beasley,0.516587678,16.8,-2.477791116,SF,mia
s.battier,0.515337423,8.7,6.380368098,SF,mia
t.prince,0.514516129,8.18,1.059004618,SF,mem
r.hummel,0.514285714,9.67,2.65437788,SF,min
e.ilyasova,0.510743802,13.85,-8.697768763,SF,mil
c.anthony,0.506969541,24.5,1.658503858,SF,nyk
o.casspi,0.506769826,12.91,5.53271028,SF,hou
k.middleton,0.501841621,12.55,-7.431125559,SF,mil
c.douglas-roberts,0.501547988,12.19,-0.471976401,SF,cha
j.salmons,0.5,7.81,-0.222608696,SF,sac
j.salmons,0.5,7.81,-0.222608696,SF,tor
m.webster,0.498579545,11.56,-0.266173752,SF,was
r.gay,0.49766511,18.4,-1.308056872,SF,sac
r.gay,0.49766511,18.4,-1.308056872,SF,tor
c.johnson,0.493670886,10.8,0.729113924,SF,bos
r.jefferson,0.493023256,11.88,-8.966078697,SF,uta
p.pierce,0.4906588,16.81,1.622084722,SF,brk
t.outlaw,0.489010989,10.42,-4.539325843,SF,sac
j.smith,0.486093552,14.1,-3.424807903,SF,det
h.barnes,0.476600985,9.85,-1.109198006,SF,gsw
d.wright,0.472972973,11.98,2.642201835,SF,por
s.williams,0.472477064,9.51,1.591511936,SF,lal
s.novak,0.467948718,11.1,6.341284404,SF,tor
t.snell,0.459207459,8.02,-4.469635628,SF,chi
c.martin,0.454545455,11.05,-6.927835052,SF,atl
c.martin,0.454545455,11.05,-6.927835052,SF,chi
c.budinger,0.451724138,9.73,-0.063660477,SF,min
j.hamilton,0.450226244,12.75,-4.89892051,SF,hou
c.butler,0.445619335,12.24,-5.152542373,SF,okc
d.granger,0.432506887,10.9,5.433962264,SF,ind
d.granger,0.432506887,10.9,5.433962264,SF,lac
j.taylor,0.416,5.97,-5.723370429,SF,cha
q.miller,0.408163265,8.62,-3.654822335,SF,den
e.clark,0.399305556,9.09,-8.488946684,SF,cle
a.iguodala,0.627604167,13.71,13.33463988,SG,gsw
m.dellavedova,0.6015625,10.69,2.70846395,SG,cle
d.wade,0.599103139,22.06,3.810810811,SG,mia
n.calathes,0.586956522,12.36,0.776831346,SG,mem
l.stephenson,0.584821429,14.72,5.014925373,SG,ind
p.tucker,0.582733813,13.31,2.410606669,SG,pho
t.allen,0.575289575,15.64,3.460815047,SG,mem
m.ginobili,0.569620253,20.06,13.003861,SG,sas
k.korver,0.554069119,13.55,4.197264816,SG,atl
m.belinelli,0.542586751,15.09,6.217369727,SG,sas
k.singler,0.5375,11.86,-4.645824411,SG,det
j.harden,0.536427415,23.51,7.044604317,SG,hou
t.sefolosha,0.536363636,10.42,3.624921334,SG,okc
k.hinrich,0.531722054,10.8,3.283018868,SG,chi
c.lee,0.530401035,13.8,1.604863222,SG,mem
g.antetokounmpo,0.52700491,10.82,-4.473933649,SG,mil
g.temple,0.525641026,7.81,-6.409937888,SG,was
j.dudley,0.525394046,8.91,5.826589595,SG,lac
j.johnson,0.51914242,15.54,1.062937063,SG,brk
a.afflalo,0.518572469,16.09,-6.870588235,SG,orl
l.williams,0.518471338,14.24,-5.547404844,SG,atl
j.crawford,0.517887564,14.4,-4.753498385,SG,bos
e.moore,0.516835017,11.18,-4.685258964,SG,orl
a.rivers,0.513868613,11.6,-0.501492537,SG,nop
r.allen,0.513404826,12.83,4.014455343,SG,mia
j.redick,0.510763209,16.64,10.20242915,SG,lac
i.shumpert,0.510638298,9.66,3.767584098,SG,nyk
j.butler,0.509626274,13.57,3.460292984,SG,chi
v.carter,0.509398496,15.97,4.253164557,SG,dal
w.matthews,0.508287293,15.7,5.226015092,SG,por
m.dunleavy,0.507827789,12.62,3.211136891,SG,chi
w.johnson,0.504402516,11.08,-8.010709505,SG,lal
j.anderson,0.502188184,10.92,-11.29778934,SG,phi
j.lamb,0.499339498,13.44,6.657161374,SG,okc
e.gordon,0.499113475,14.92,-6.277102577,SG,nop
d.derozan,0.49701897,18.42,2.860927152,SG,tor
g.henderson,0.496694215,13.13,-1.365298659,SG,cha
j.meeks,0.495949595,14.75,-9.554947204,SG,lal
a.gee,0.494880546,8.63,-10.71890304,SG,cle
b.beal,0.494550409,14.32,2.087781732,SG,was
f.garcia,0.494535519,9.37,1.418282548,SG,hou
a.morrow,0.494176373,13.96,1.44639103,SG,nop
e.turner,0.493617021,12.43,-7.337953526,SG,ind
e.turner,0.493617021,12.43,-7.337953526,SG,phi
j.smith,0.493183641,14,-0.039620305,SG,nyk
d.garrett,0.4922049,7.1,-5.302857143,SG,uta
d.green,0.487878788,13.9,9.588377724,SG,sas
v.oladipo,0.487127371,13.64,-5.135961384,SG,orl
d.waiters,0.483408748,14.1,-1.250361795,SG,cle
j.crawford,0.482397004,17.39,6.192068801,SG,lac
w.chandler,0.482245132,12.48,-4.313766234,SG,den
k.thompson,0.481457385,14.32,8.906871294,SG,gsw
j.terry,0.480519481,7.48,-5.557894737,SG,brk
d.lamb,0.477477477,7.51,-0.137733142,SG,orl
p.george,0.476692564,20.16,6.202618884,SG,ind
e.williams,0.474272931,8.71,-15.1840968,SG,phi
k.bazemore,0.474206349,11.28,-13.21052632,SG,lal
e.fournier,0.472375691,10.36,0.383488682,SG,den
